tt.term_brand	tt.term_mdl_code	tt.os	tt.model	tt.price
华为	I818	android	其他	
欧珀	OPPO A121			
步步高	BBK	android	其他	
三星	E1202	android	其他	
三星	E1252	android	其他	
华为	U1280	android	其他	
步步高	I302			
荣耀	XD28			
三星	GT-E1220	android	其他	
荣耀	LID-LX3			
三星	I519	android	三星I519	
华为	MU203	android	其他	
欧珀	OPPO A203			
步步高	vivo V2			
荣耀	TEL_TN10			
荣耀	TEL_AN10	android	iPhone 8 Plus	
欧珀	R601	android	其他	
荣耀	TUM-L19			
小米科技	Xiaomi MI2C			
步步高	i288			
步步高	i328			
三星	S5620			
欧珀	A129	android	其他	
华为	XD22			
苹果	A2219	ios	iPhone 11 pro max	4799
步步高	vivo E5			
步步高	BBK i18			
小米科技	MDE1	android	红米 5	
步步高	BBK i6			
欧珀	OPPO A520			
欧珀	D103			
小米科技	Xiaomi MI2			
华为	U2800	android	其他	
华为	ELS-TN10	android	P40 Pro	6621
华为	NEO-L29	android	Mate RS	
苹果	IPhone			
荣耀	TNA-TN00	android	华为麦芒9	3849
小米科技	MDI2	android	其他	
步步高	i528			
苹果	A2222	ios	iPhone 11	4799
华为	U121	android	其他	
小米科技	MDE2	android	红米 5	
小米科技	MDT2	android	小米 5	
小米科技	MDT5	android	红米Note5	
小米科技	MDG1	android	A1	
欧珀	OPPO T5			
欧珀	PDAT10	android	A8	
苹果	IPAD2 3G	ios	S660	
华为	ET127			
小米科技	X8S			
欧珀	PEDM00	android	Oppo Find X3 Pro	4249
欧珀	PEMT20	android	其他	1532
步步高	V1	android	其他	
苹果	A2216	ios	iPhone 11 pro	5033
三星	E1120	android	其他	
欧珀	PEMM20	android	Oppo A55	1532
欧珀	PEMT00	android	Oppo A55	1532
小米科技	MDT1	android	红米 5 Plus	
小米科技	Xiaomi MI2A			
小米科技	MI 4	android	其他	
华为	U528	android	其他	
