tt.term_brand,tt.term_mdl_code,tt.os,tt.model,tt.price,name
三星,SGH-J708i,android,其他,NULL,
三星,SGH-Z720,android,ZV10,NULL,
三星,SM-J400M/DS,android,Galaxy J4,NULL,
华为,HUAWEI G730-T00,android,G730,NULL,
华为,HUAWEI T1101,NULL,NULL,NULL,
华为,HUAWEI T9510E,android,其他,NULL,
华为,I818,android,其他,NULL,
华为,TRT-AL00A,android,畅享7 Plus,NULL,
华为,U8661,android,华为Fusion 2 ,NULL,
华为,Vodafone 720,NULL,NULL,NULL,
华为,Vodafone 725,NULL,NULL,NULL,
华为,Vodafone 810,NULL,NULL,NULL,
小米科技,MBE6A5,android,红米 Note4,NULL,
欧珀,A617,android,A617,NULL,
欧珀,CPH1851,android,Oppo AX5,NULL,
欧珀,OPPO A103,NULL,NULL,NULL,
欧珀,OPPO A117,NULL,NULL,NULL,
欧珀,OPPO A121,NULL,NULL,NULL,
欧珀,OPPO A207,NULL,NULL,NULL,
欧珀,OPPO A53c,NULL,NULL,NULL,
欧珀,OPPO F19,NULL,NULL,NULL,
欧珀,OPPO R9st,android,R9,2499,
欧珀,OPPO T15,NULL,NULL,NULL,
步步高,V2022,,NULL,NULL,
步步高,V2027,,NULL,NULL,
步步高,V2036,,NULL,NULL,
步步高,V2045,,NULL,NULL,
步步高,V2130,,NULL,NULL,
步步高,V2158,,NULL,NULL,
步步高,V2197A,android,iQOO Neo6 SE,1449,
步步高,V2202,,NULL,NULL,
步步高,V2266A,android,iQOO Z7,NULL,
步步高,vivo Xplay6,android,VIVO XPLAY6,3498,
苹果,A2412,ios,IPHONE 13 PRO,7666,
荣耀,7D-503LT,android,其他,NULL,
荣耀,LND-AL40,android,荣耀畅玩 7C,NULL,
realme,RMX2117,android,Realme X7 Pro,1249,
三星,E1310M,NULL,NULL,NULL,
三星,I9020,NULL,NULL,NULL,
三星,S5233S,NULL,NULL,NULL,
三星,S7230E,android,其他,NULL,
三星,SCH-M715,android,Galaxy Note II,NULL,
三星,SM-G7509,android,Galaxy Mega 2,1099,
三星,SM-J3119S,android,Galaxy J3,NULL,
三星,SM-J5108,android,Galaxy J5,NULL,
华为,ANA-AL00,android,P40 4G,4413,
华为,C8815,android,其他,NULL,
华为,CHW-LX1,,NULL,NULL,
华为,LDN-TL10,android,畅享8,NULL,
华为,TAH-AN00m,NULL,NULL,NULL,
小米科技,M2001J11C,android,红米K30 Pro,3424,
小米科技,M2101K7AI,,NULL,NULL,
欧珀,PHS110,android,其他,NULL,
步步高,V2285A,android,其他,2299,
步步高,vivo Y67L,android,Y67,1098,
苹果,A2595,ios,iPhone SE Ⅲ (3rd generation),NULL,
荣耀,DUA-TL00,android,荣耀畅玩7A,NULL,
荣耀,HRY-AL00,android,荣耀10,NULL,
realme,RMX3611,android,Realme 10 5G,NULL,
三星,C5130,NULL,NULL,NULL,
三星,GT-I8190,android,其他,NULL,
三星,GT-I8258,android,其他,NULL,
三星,GT-I8262,android,其他,NULL,
三星,SGH-T509s,NULL,NULL,NULL,
三星,SM-A6058,android,Galaxy A9 star,NULL,
华为,AGR-AL09HN,android,其他,NULL,
华为,BLA-L09,android,Mate 10 pro,NULL,
华为,FLA-AL10,android,畅享8 Plus,NULL,
华为,G350,android,其他,NULL,
华为,GIA-AN80,android,荣耀80SE,2549,
华为,JAD-AL80,android,HUAWEI P50 Pro,6927,
华为,JER-AN10,android,Nova 7 Pro,3899,
华为,PKU-AL40,android,其他,2949,
华为,WAS-TL10,android,nova 青春版,NULL,
小米科技,23076RA4BC,android,Redmi Note 12R,1349,
小米科技,M1903F10C,android,小米9T,2119,
欧珀,OPPO R9skt,android,R9s,2499,
欧珀,OPPO U701T,android,U705T,NULL,
欧珀,PDKT00,android,其他,2032,
步步高,BBK,android,其他,NULL,
步步高,T98,android,其他,NULL,
步步高,V1818BT,NULL,NULL,NULL,
步步高,Y613,NULL,NULL,NULL,
步步高,vivo X9s L,android,VIVO X9S ,NULL,
苹果,Ipad Mini,NULL,NULL,NULL,
荣耀,DUK-AL20,android,荣耀V9,NULL,
荣耀,LYN-AN00,NULL,NULL,NULL,
三星,GT-C6712,android,其他,NULL,
三星,GT-I9082L,android,Galaxy Grand Duos,NULL,
三星,SGH-N288,android,其他,NULL,
三星,SGH-N300,android,其他,NULL,
三星,SGH-N620,android,其他,NULL,
三星,SGH-P308,android,其他,NULL,
三星,SGH-P510,android,其他,NULL,
三星,SGH-P858,android,其他,NULL,
小米科技,2016031,android,红米3S,NULL,
小米科技,2016036,android,红米3S,NULL,
小米科技,2016090,android,红米4,599,
小米科技,2016112,android,红米4,599,
小米科技,2016117,android,红米4,599,
欧珀,OPPO A53,android,其他,1532,
欧珀,PERM10,android,Oppo A36,1684,
步步高,BBK V303,NULL,NULL,NULL,
步步高,V2130A,android,iQOO Z5x,2499,
苹果,A2275,ios,iPhone SE 2,3832,
苹果,IPhone 3G,NULL,NULL,NULL,
荣耀,EBG-AN10,android,其他,NULL,
三星,GT-C3730C,android,其他,NULL,
三星,GT-I9158V,android,Galaxy Mega 5.8,NULL,
三星,SCH-W179,android,其他,NULL,
三星,SCH-W309,android,其他,NULL,
三星,SCH-W589,android,其他,NULL,
三星,SCH-W629,android,其他,NULL,
三星,SCH-W999,android,其他,NULL,
华为,ANB-AN00,android,荣耀80 Pro 直屏版,3599,
华为,ART-AL00M,android,畅享10,1374,
华为,HDL-AL09,android,荣耀Waterplay8（平板电脑）,NULL,
华为,HUAWEI SCL-L03,NULL,NULL,NULL,
华为,HUAWEI SCL-L21,NULL,NULL,NULL,
华为,U1270,android,华为U1280,NULL,
华为,U9100,android,其他,NULL,
小米科技,M2007J22G,android,其他,NULL,
小米科技,M2103K19C,android,Redmi Note 10 Pro,1799,
欧珀,PGCM10,android,OPPO Find X6,1532,
步步高,A50,android,其他,NULL,
步步高,K028,android,其他,NULL,
步步高,V2046A,android,Vivo X60 Pro,3266,
步步高,V2323A,,NULL,NULL,
步步高,vivo Y13T,android,VIVO Y15,799,
荣耀,ATH-TL00H,android,荣耀7i,NULL,
荣耀,G750-T01,android,荣耀3X畅玩版,NULL,
realme,RMX3708,android,Realme 11 Pro+,3349,
三星,G3502C,android,GALAXY Trend 3,NULL,
三星,GT-C3250,android,其他,NULL,
三星,GT-C3322,android,其他,NULL,
三星,GT-C3520,android,其他,NULL,
三星,GT-S5831I,android,Galaxy Ace,NULL,
三星,SGH-L608,android,其他,NULL,
三星,SGH-M300,android,其他,NULL,
三星,SGH-M620,android,其他,NULL,
三星,SGH-N075T,NULL,NULL,NULL,
三星,SGH-N188,android,其他,NULL,
三星,SGH-W669,NULL,NULL,NULL,
三星,SM-G3556D,android,Galaxy Core 2,NULL,
三星,SM-G988B/DS,android,Galaxy S20 Ultra,9544,
华为,CPN-AL00,android,CPN平板电脑,NULL,
华为,LNA-AL00,android,P60,5155,
华为,NOH-AL10,android,华为Mate40 Pro,6839,
小米科技,2016021,android,红米 Pro,NULL,
小米科技,MDT6S,android,其他,NULL,
欧珀,PHY110,,NULL,NULL,
步步高,V1938CA,NULL,NULL,NULL,
步步高,V2199GA,android,其他,3549,
步步高,vivo X9s Plus L,android,VIVO X9s PLUS,NULL,
步步高,vivo Y66,android,VIVO Y66,NULL,
苹果,IPad 3G,NULL,NULL,NULL,
荣耀,FRD-DL00,android,荣耀8,NULL,
荣耀,HLK-TL00,android,荣耀9X,NULL,
荣耀,MAG-AN00,,NULL,NULL,
荣耀,MXW-TN00,android,荣耀30青春版,1916,
荣耀,NTN-LX3,,NULL,NULL,
三星,E1202,android,其他,NULL,
三星,E1252,android,其他,NULL,
三星,E2210,android,其他,NULL,
三星,E2652,android,其他,NULL,
三星,GT-C3630C,android,其他,NULL,
三星,GT-N7102,android,Galaxy Note II,1600,
三星,S8300T,android,其他,NULL,
三星,SM-C7000,android,Galaxy C7 Pro,NULL,
三星,SM-G935A,android,Galaxy S7 Edge,NULL,
三星,SM-N986U,android,Galaxy Note 20,7199,
华为,BAC-TL00,android,nova 2 Plus,NULL,
华为,C8813,android,C8813,NULL,
华为,DUB-AL20,android,畅享9,NULL,
华为,HUAWEI Y320-T00,android,Y320,NULL,
华为,Huawei OptiXstar K153,NULL,NULL,NULL,
华为,POT-AL00,android,畅享9S,1099,
华为,U7520,android,其他,NULL,
华为,U8100,android,其他,NULL,
华为,U8150,android,其他,NULL,
华为,U8650,android,其他,NULL,
小米科技,HM7AM1903C3EE,android,X100S,624,
小米科技,M1912G7BC,android,红米K30,2212,
小米科技,M2002J9E,android,小米10青春版,NULL,
欧珀,OPPO A57t,android,A59,1499,
欧珀,PECT10,NULL,NULL,NULL,
欧珀,X9079,android,R9 Plus,NULL,
步步高,V2020A,android,S7,2948,
步步高,V2271A,android,iQOO Z7x,2099,
步步高,vivo X6Plus L,android,X6S,NULL,
苹果,A2888,ios,iPhone 14 Plus,8199,
荣耀,ARE-TL00,android,荣耀8X MAX,NULL,
荣耀,COL-AL10,android,荣耀10,NULL,
三星,SGH-J208,android,其他,NULL,
三星,SGH-J618,android,其他,NULL,
三星,SGH-J708,android,其他,NULL,
三星,SM-F9160,NULL,NULL,NULL,
华为,CAM-L03,android,荣耀畅玩5A,NULL,
华为,ELS-N39,android,华为p40pro+,8438,
小米科技,2014618,android,红米Note,NULL,
小米科技,2014910,android,红米Note,NULL,
小米科技,2014915,android,红米Note,NULL,
欧珀,PKD110,NULL,NULL,NULL,
苹果,A3092,IOS,iPhone 15 Plus,7332,
荣耀,KKG-AN00,android,荣耀 X10Max,NULL,
荣耀,LGE-AN10,android,荣耀 Magic4 Pro,5966,
荣耀,PE-CL00,android,其他,NULL,
三星,SGH-E251C,android,其他,NULL,
三星,SM-G3609,android,Galaxy Win 2 Duos,NULL,
三星,SM-G988W,android,Galaxy S21 FE,9544,
三星,W609,android,其他,NULL,
华为,C8813D,android,华为C8813D,NULL,
华为,GLA-AL00,android,Huawei Nova 10 Pro ,3849,
华为,HUAWEI G520-T10,android,G520,NULL,
华为,HUAWEI NXT-DL00,android,Mate 8,2425,
华为,NOH-AL00,android,Mate 40 Pro,6839,
华为,TRT-TL10A,android,畅享7 Plus,NULL,
华为,Y600D-C00,android,其他,NULL,
欧珀,OPPO A53t,android,A57,1532,
欧珀,OPPO A57,android,A57,1499,
欧珀,PJA110,android,OPPO K11,3466,
步步高,BBK vivo S3+,NULL,NULL,NULL,
三星,SGH-D600e,NULL,NULL,NULL,
三星,SHV-E210S,android,Galaxy S3,NULL,
三星,SM-F721N,,NULL,NULL,
三星,SM-G8508S,android,Galaxy Alpha LTE-A,NULL,
三星,SM-G981U,android,Galaxy S20,5999,
华为,ANE-TL00,android,Nova 3e,NULL,
华为,ATU-TL10,android,畅享8e,NULL,
华为,DCO-AL00,android,HUAWEIMate50,5879,
华为,FDR-A03L,android,揽阅 M2 青春版,NULL,
华为,HUAWEI G2201C,NULL,NULL,NULL,
华为,LIO-AN00P,android,Mate30 pro,6395,
小米科技,MDE6,android,红米 Note5,NULL,
小米科技,MEC7S,android,红米Note5,NULL,
